STATUS | wrapper  | 2019/01/06 10:55:49 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/01/06 10:55:49 | Launching a JVM...
INFO   | jvm 1    | 2019/01/06 10:55:50 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/01/06 10:55:50 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/01/06 10:55:50 | 
INFO   | jvm 1    | 2019/01/06 10:55:50 | 
INFO   | jvm 1    | 2019/01/06 10:55:50 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2019/01/06 10:55:50 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2019/01/06 10:55:50 |           could not be loaded:
INFO   | jvm 1    | 2019/01/06 10:55:50 |             d:\JavaProjects\Htools\src\main\resources\DB\H2\service\.\wrapper.dll
INFO   | jvm 1    | 2019/01/06 10:55:50 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2019/01/06 10:55:50 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2019/01/06 10:55:50 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2019/01/06 10:55:50 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2019/01/06 10:55:50 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2019/01/06 10:55:50 |           Reported cause:
INFO   | jvm 1    | 2019/01/06 10:55:50 |             D:\JavaProjects\Htools\src\main\resources\DB\H2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2019/01/06 10:55:50 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2019/01/06 10:55:50 | 
INFO   | jvm 1    | 2019/01/06 10:55:50 | WrapperSimpleApp: Unable to locate the class org.h2.tools.Server: java.lang.ClassNotFoundException: org.h2.tools.Server
INFO   | jvm 1    | 2019/01/06 10:55:50 | 
INFO   | jvm 1    | 2019/01/06 10:55:50 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2019/01/06 10:55:50 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_arguments]
INFO   | jvm 1    | 2019/01/06 10:55:50 | 
INFO   | jvm 1    | 2019/01/06 10:55:50 | Where:
INFO   | jvm 1    | 2019/01/06 10:55:50 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2019/01/06 10:55:50 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2019/01/06 10:55:50 |                   application.
STATUS | wrapper  | 2019/01/06 10:55:52 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/01/09 10:37:03 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/01/09 10:37:03 | Launching a JVM...
INFO   | jvm 1    | 2019/01/09 10:37:06 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/01/09 10:37:06 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/01/09 10:37:06 | 
INFO   | jvm 1    | 2019/01/09 10:37:07 | 
INFO   | jvm 1    | 2019/01/09 10:37:07 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2019/01/09 10:37:07 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2019/01/09 10:37:07 |           could not be loaded:
INFO   | jvm 1    | 2019/01/09 10:37:07 |             D:\JavaProjects\Htools\src\main\resources\DB\H2\service\.\wrapper.dll
INFO   | jvm 1    | 2019/01/09 10:37:07 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2019/01/09 10:37:07 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2019/01/09 10:37:07 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2019/01/09 10:37:07 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2019/01/09 10:37:07 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2019/01/09 10:37:07 |           Reported cause:
INFO   | jvm 1    | 2019/01/09 10:37:07 |             D:\JavaProjects\Htools\src\main\resources\DB\H2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2019/01/09 10:37:07 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2019/01/09 10:37:07 | 
INFO   | jvm 1    | 2019/01/09 10:37:07 | WrapperSimpleApp: Unable to locate the class org.h2.tools.Server: java.lang.ClassNotFoundException: org.h2.tools.Server
INFO   | jvm 1    | 2019/01/09 10:37:07 | 
INFO   | jvm 1    | 2019/01/09 10:37:07 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2019/01/09 10:37:07 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_arguments]
INFO   | jvm 1    | 2019/01/09 10:37:07 | 
INFO   | jvm 1    | 2019/01/09 10:37:07 | Where:
INFO   | jvm 1    | 2019/01/09 10:37:07 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2019/01/09 10:37:07 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2019/01/09 10:37:07 |                   application.
STATUS | wrapper  | 2019/01/09 10:37:09 | <-- Wrapper Stopped
